City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
317,Panan,PH,15.2134,120.0272,87.04,61,10,2.28,clear sky
318,Pathein,MM,16.7833,94.7333,82.44,75,13,4.23,few clouds
319,Khalkhal,IR,37.6189,48.5258,33.8,75,8,2.01,clear sky
320,Villarrica,PY,-25.75,-56.4333,70.23,79,97,3.18,overcast clouds
321,Mumford,GH,5.2618,-0.759,78.1,84,30,7.85,scattered clouds
322,Baft,IR,29.234,56.6057,44.26,44,2,2.75,clear sky
323,Paamiut,GL,61.994,-49.6678,31.55,88,99,26.73,light snow
324,Cururupu,BR,-1.8283,-44.8683,75.07,89,100,3.31,overcast clouds
325,Trinidad,BO,-14.8333,-64.9,80.13,46,4,4.72,clear sky
326,Port Hardy,CA,50.6996,-127.4199,32.61,58,42,0.49,scattered clouds
327,Vestmanna,FO,62.1564,-7.1664,45.52,93,75,8.05,broken clouds
328,Portland,US,45.5234,-122.6762,39.34,90,20,8.05,few clouds
329,Shache,CN,38.4167,77.2406,24.98,18,100,7.58,overcast clouds
330,Barahona,DO,18.2085,-71.1008,76.39,84,17,1.43,light rain
331,Mlonggo,ID,-6.5333,110.7,85.59,67,97,3.58,overcast clouds
332,Pleasant Grove,US,40.3641,-111.7385,30.47,80,100,14.97,overcast clouds
333,Yuli,NG,9.6989,10.2744,66.02,26,18,5.37,few clouds
334,Laguna,US,38.421,-121.4238,53.96,54,0,5.75,clear sky
335,Sistranda,NO,63.7256,8.834,42.76,68,100,6.38,overcast clouds
336,Kenai,US,60.5544,-151.2583,-2.11,84,0,5.75,clear sky
337,Necochea,AR,-38.5473,-58.7368,72.95,52,100,18.61,overcast clouds
338,Brookings,US,44.3114,-96.7984,31.44,82,100,5.75,overcast clouds
339,Okha,RU,53.5739,142.9478,14.54,78,98,5.41,overcast clouds
340,Inuvik,CA,68.3499,-133.7218,-27.6,100,40,4.47,scattered clouds
341,Surami,GE,42.0243,43.5556,41.34,85,35,7.83,scattered clouds
342,Djougou,BJ,9.7085,1.666,70.92,30,99,3.89,overcast clouds
343,Port Hawkesbury,CA,45.6169,-61.3485,37.58,90,75,17.0,broken clouds
344,San Vicente,AR,-26.6167,-54.1333,64.6,78,24,4.63,few clouds
345,Ban Tak,TH,17.0432,99.0813,82.85,75,69,1.54,broken clouds
