City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
306,Yulara,AU,81.66,-25.2406,130.9889,clear sky,Desert Gardens Hotel - Ayers Rock Resort
308,Buala,SB,82.58,-8.145,159.5921,light rain,Maringe Lagoon Lodge
309,Ouesso,CG,68.72,1.6136,16.0517,broken clouds,ABENIE Hotel
310,Umm Kaddadah,SD,69.55,13.6017,26.6876,broken clouds,
311,Kavaratti,IN,81.5,10.5669,72.642,broken clouds,Green leaf
312,Marsh Harbour,BS,77.45,26.5412,-77.0636,overcast clouds,Abaco Beach Resort
314,Tabou,CI,76.46,4.423,-7.3528,scattered clouds,hotêl doufoulougou
317,Panan,PH,87.04,15.2134,120.0272,clear sky,Rama International Beach Resort
318,Pathein,MM,82.44,16.7833,94.7333,few clouds,Pathein Hotel
320,Villarrica,PY,70.23,-25.75,-56.4333,overcast clouds,Mansión Reljuv Tours SA
321,Mumford,GH,78.1,5.2618,-0.759,scattered clouds,Peace Guest House
324,Cururupu,BR,75.07,-1.8283,-44.8683,overcast clouds,POUSADA TRAVÉS'CIA
325,Trinidad,BO,80.13,-14.8333,-64.9,clear sky,Hotel Piesta
330,Barahona,DO,76.39,18.2085,-71.1008,light rain,Hotel Caribe
331,Mlonggo,ID,85.59,-6.5333,110.7,overcast clouds,Asia Metal Art
333,Yuli,NG,66.02,9.6989,10.2744,few clouds,
337,Necochea,AR,72.95,-38.5473,-58.7368,overcast clouds,dyd -mar Hotel
342,Djougou,BJ,70.92,9.7085,1.666,overcast clouds,Hôtel Gladenzo
345,Ban Tak,TH,82.85,17.0432,99.0813,broken clouds,Bansuansiriwat
346,Ciudad Bolivar,VE,76.39,8.1222,-63.5497,overcast clouds,Hotel Edi
347,Carmen,MX,82.44,18.6333,-91.8333,few clouds,Hotel Lossandes
349,Dafeng,CN,79.12,23.4517,108.5881,broken clouds,Shenglong Hotel
352,Doka,SD,76.64,13.5167,35.7667,clear sky,منصور عثمان
353,Salem,IN,77.2,11.65,78.1667,mist,YMCA PROGRAM CENTRE
354,Puerto Escondido,MX,78.87,15.85,-97.0667,broken clouds,Aldea del Bazar Hotel and Spa
356,Altamira,BR,79.38,-3.2033,-52.2064,broken clouds,Requinte Hotel
365,Gizo,SB,84.34,-8.103,156.8419,overcast clouds,Imagination Island
368,Kununurra,AU,89.58,-15.7667,128.7333,scattered clouds,Hotel Kununurra
370,Ozu,JP,68.83,33.5,132.55,light rain,HOTEL FOREST
372,Pisco,PE,68.05,-13.7,-76.2167,broken clouds,Hotel San Isidro Oficial
373,Auki,SB,79.79,-8.7676,160.7034,light rain,Auki Motel
375,Lagoa,PT,65.44,39.05,-27.9833,light rain,Casa Das Faias
376,Biloela,AU,74.89,-24.4167,150.5,light rain,Silo Motor Inn Biloela
377,Nakhon Sawan,TH,81.88,15.7,100.0833,overcast clouds,The Paradiso JK Design Hotel Nakhon Sawan.
378,Inirida,CO,72.01,3.8653,-67.9239,overcast clouds,Fuente del Guania Hotel de Lujo
380,Seminole,US,65.19,28.7086,-81.2081,clear sky,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
384,Yaan,NG,72.86,7.3833,8.5667,clear sky,
388,Cidreira,BR,69.28,-30.1811,-50.2056,few clouds,Hotel Castelo
389,Bangassou,CF,67.44,4.7413,22.8184,overcast clouds,
391,Taunggyi,MM,68.76,20.7833,97.0333,scattered clouds,True Treasure Hotel
393,Shenzhen,CN,85.86,22.5455,114.0683,clear sky,Grand Skylight
399,Vung Tau,VN,83.25,10.346,107.0843,broken clouds,Seaside Resort
403,Samana,DO,75.4,19.2056,-69.3369,clear sky,The Bannister - Hotel & Yacht Club
404,Osmena,PH,83.82,10.5208,119.9258,broken clouds,Arjemarkyza Lodge
405,Boende,CD,69.35,-0.2167,20.8667,overcast clouds,
406,Cayenne,GF,75.24,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
408,Ponta Delgada,PT,68.5,37.7333,-25.6667,broken clouds,Vila Nova Hotel
409,Mogadishu,SO,80.24,2.0371,45.3438,broken clouds,Hotel Juba
410,Jalpa,MX,65.19,21.6333,-102.9667,few clouds,"Estacionamiento ""El Nogal"""
412,Buin,CL,74.12,-33.7333,-70.75,clear sky,Paihuen
413,Lagos,NG,75.04,6.5833,3.75,light rain,
415,Mangrol,IN,72.73,21.1167,70.1167,clear sky,Hotel The Royal Honours
416,Arlit,NE,67.57,18.7369,7.3853,overcast clouds,Case de Passage De la Prefecture
418,Bulalacao,PH,84.25,12.3254,121.3435,overcast clouds,By The Sea Hotels
419,Kavieng,PG,85.41,-2.5744,150.7967,few clouds,Nusa Island Retreat
421,Kirakira,SB,81.95,-10.4544,161.9205,moderate rain,SanBiz Lodge
425,Alofi,NU,82.29,-19.0595,-169.9187,broken clouds,Taloa Heights
426,Gat,IL,66.4,31.61,34.7642,overcast clouds,OlusHome
427,Gumia,IN,70.11,23.7833,85.8167,clear sky,Veer Mistan
429,Dubai,AE,71.53,25.2582,55.3047,clear sky,"Radisson Blu Hotel, Dubai Deira Creek"
430,Namatanai,PG,85.87,-3.6667,152.4333,light rain,Seagulls Inn Namatani
431,Sangamner,IN,70.54,19.5667,74.2167,clear sky,Hotel Panchavati Sangamner
434,Moyale,KE,65.55,3.5167,39.0584,few clouds,La Tahzan Guest House
436,Hithadhoo,MV,80.89,-0.6,73.0833,overcast clouds,Scoop Guest House
441,Villa Maria,AR,76.93,-32.4075,-63.2402,clear sky,Hotel Milenium Villa Maria
443,Wanning,CN,82.02,18.8003,110.3967,scattered clouds,Paradise Hotel
444,Bambanglipuro,ID,82.22,-7.95,110.2833,overcast clouds,Puri Brata
445,Nishihara,JP,82.06,26.1842,127.7558,scattered clouds,Minshuku Agaihama
446,Miandrivazo,MG,77.34,-19.5167,45.4667,few clouds,Hôtel Arc En Ciel Miandrivazo
447,Samarai,PG,85.82,-10.6167,150.6667,broken clouds,Nuli Sapi
449,Vogan,TG,77.79,6.3333,1.5333,broken clouds,Hotel Sitsope Phenix
451,Tautira,PF,78.31,-17.7333,-149.15,broken clouds,Pension Oaoa
452,Barranca,PE,68.25,-10.75,-77.7667,overcast clouds,El Olivar Hospedaje
454,Langsa,ID,86.81,4.4683,97.9683,overcast clouds,OYO 3328 Hotel Mori
458,Paka,MY,84.38,4.6374,103.4368,broken clouds,RUMBIA RESORT VILLA Paka Terengganu
460,Sibu,MY,89.11,2.3,111.8167,overcast clouds,RH HOTEL (4 Star)
